EGYPT CDS USD SR Index,,,,,,,,,
YCCD2887 Index,,,,,,,,,
Dates,,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
T,7/2/13,941.5,1006,1101.4,1020,1017.2,1000,1035.6,1060.5
M,7/1/13,762.4,832.5,944.1,898.8,910.2,900,920.9,928.1
,,,,,,,,,
F,6/28/13,747.3,815.5,924.5,880.6,891.7,881.7,901.7,908.3
T,6/27/13,738.3,827.1,910.8,882.8,902.2,887.5,917.5,909.3
W,6/26/13,728,815.2,897.7,870.3,889.4,875,904.2,895.6
T,6/25/13,683,764.7,842.1,816.6,834.7,821.3,849.3,842.1
M,6/24/13,668.8,758.7,822.5,804.8,822.5,807.3,839.4,836.1
,,,,,,,,,
F,6/21/13,637.9,710.2,786.7,779.5,795.9,798.4,819.8,816.6
T,6/20/13,572.8,670.9,740.9,739.9,757.9,767.2,791.4,790.1
W,6/19/13,520,616.2,693.6,710.7,728.7,735.7,757.4,765.2
T,6/18/13,534.6,617.9,701.8,721.3,738.5,741.1,764.1,770.9
M,6/17/13,531.1,616.8,685.2,709,728,730.9,753.1,757.3
,,,,,,,,,
F,6/14/13,551.9,629.5,701.5,718.4,733,739.5,755.1,754.1
T,6/13/13,558.1,636.3,709.1,726.2,740.9,747.6,763.6,763.1
W,6/12/13,551.7,628.8,700.8,717.7,732.3,738.9,754.8,753.5
T,6/11/13,553.8,631,703.2,720.3,735,741.7,757.5,756.7
M,6/10/13,533.9,608.2,677.8,694.3,708.5,715,730.4,729.8
,,,,,,,,,
F,6/7/13,545.4,620.6,691.7,708.7,723.3,730,745.8,745.1
T,6/6/13,539.8,614.1,684.5,701.4,715.9,722.4,738.2,737.6
W,6/5/13,545.2,620.1,691.2,708.3,723,729.6,745.5,745.1
T,6/4/13,518.5,589.4,657.1,673.4,687.5,693.8,709,708.3
M,6/3/13,492.5,559.7,624,639.6,653,659.2,673.6,672.9
,,,,,,,,,
F,5/31/13,449.2,533.1,559.6,614.2,616.4,620.4,634.1,638.6
T,5/30/13,456.5,534.7,580.9,647.6,656.1,668.8,680.6,673.8
W,5/29/13,434.3,508.6,552.6,615.9,624,636.2,647.5,640.9
T,5/28/13,456.3,532.3,590.5,646.8,648.2,660,672,673.7
M,5/27/13,452.5,527.9,586,641.9,643.4,655.2,667.2,669
,,,,,,,,,
F,5/24/13,452.5,527.8,586,641.8,643.3,655,666.9,668.7
T,5/23/13,448.3,522.7,580.3,635.6,637,648.5,660.2,661.8
W,5/22/13,438.9,511.6,568,622.2,623.6,635,646.6,648.3
T,5/21/13,452.7,527.6,585.8,641.7,643.2,655,667.1,669.1
M,5/20/13,424.6,494.5,549.1,601.4,602.9,614,625.2,627
,,,,,,,,,
F,5/17/13,441.1,496.4,559.3,611.2,616.9,625,634.6,629.7
T,5/16/13,435.9,490.4,552.6,603.9,609.6,617.6,627.1,622.4
W,5/15/13,444.8,500.2,563.7,616,621.8,630,639.7,634.8
T,5/14/13,437.3,491.6,554,605.5,611.3,619.3,628.9,624.3
M,5/13/13,441.4,496.1,559.1,611,616.8,625,634.7,629.9
,,,,,,,,,
F,5/10/13,441.5,495.9,558.8,610.8,616.7,625,634.8,630.1
T,5/9/13,424.8,476.9,537.4,587.5,593.2,601.2,610.6,606.2
W,5/8/13,414.7,465.4,524.5,573.3,579,586.7,596,591.6
