year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
2001,0,0,0,0,0,0,0,0,0,3,5,4,12
2002,10,13,15,10,1,3,0,3,1,5,1,8,70
2003,4,7,12,2,3,7,2,4,2,6,8,1,58
2004,11,2,3,3,9,5,2,4,4,8,7,2,60
2005,2,3,6,19,4,29,2,33,12,10,7,4,131
2006,1,17,13,5,17,22,19,29,38,17,9,4,191
2007,2,18,10,20,25,24,29,34,24,15,22,9,232
2008,14,7,20,14,23,46,30,46,37,19,12,27,295
2009,25,25,28,14,27,38,76,77,70,74,32,35,521
2010,43,53,39,34,51,103,88,79,57,65,58,41,711
2011,32,38,39,51,56,66,53,82,53,42,27,27,566
2012,35,24,39,40,45,39,46,52,27,24,17,14,402
2013,8,1,16,17,26,23,0,0,0,0,0,0,91
